,Unnamed: 0,Unnamed: 0.1,username,content,total words per comment,frequency of large words per comment,Simpson,Sichel,Average sentence length per comment,Frequency of used punctuation per comment,Frequency of repeated occurrence of whitespace per comment,Number of grammar mistakes per comment,Uppercase word usage per comment,Ease reading for the content,Gunning Fog value for the content,Label
2385,2385,2385,Maik12,"""Die Bereitschaft für Humor und Ironie in dieser Gesellschaft sind unterentwickelt. Wenn Sie so was in Großbritannien gesagt hätten, hätte sich nie jemand darüber aufgeregt."" Er setzte hinzu: ""Aber ich verstehe und lerne: Man ist mit Ironie oder mit Bemerkungen, die vielleicht etwas spaßig gemeint sind, in diesem Lande schlecht aufgehoben."" "" - Humor ist eine Begabung - Ironie (wie der Sarkasmus) die höchstenwickelte, feinste Form der Boshaftigkeit - Bemerkungen, die vielleicht etwas spaßig gemeint sind einfach nur dümmlich ""Wenn Sie so was in Großbritannien gesagt hätten................"" Wenn Sie so was in Großbritannien gesagt hätten, regt sich darüber auch keiner auf, weil er letzteres dazu bemerkt, werter Merz. -------------------------",56,10,0.06087719298245613,0.0225,132.66666666666666,9,0,2,21,50.15,17.48,14
2386,2386,2386,Maik12,"""Die Chemie, die für Fracking in die Erde gepumpt werden muss, bekommen Sie nie wieder heraus."" Aus Ihren Haaren auch nicht. Slickwater-Fluide bestehen zu 98–99 % aus Wasser sowie 1–1,9 % Stützmitteln und weniger als 1 % Additiven. Die Zusammensetzung der Fracfluide wird mit Hilfe von Entscheidungsmatrizen und/oder Computerprogrammen für jede Bohrung separat festgelegt und hängt von den mineralogisch-geologischen Eigenschaften des Zielhorizontes und den in der Lagerstätte vorherrschenden Druck- und Temperaturverhältnissen ab. Clean Fracking bezeichnet demgegenüber eine neue Methode des Frackings, in dem nur Wasser, Bauxit-Sand und Stärke verwendet werden sollen. usw. Im übrigen sollten Sie den Beitrag schon vollständig lesen",107,11,0.0654095390937496,0.009957325746799427,139.8,25,0,10,26,53.75,15.95,14
2387,2387,2387,Maik12,"""Die Demokratie darf nicht in Quarantäne gehen."" Das ""die"" lässt sschon mal darauf folgern, das der ""Risikoforscher"" eine Vorstellung davon hat. Lesen Sie mal dazu hier nach, nutzen sie die Zeit (in der Quarantäne). https://www.zeit.de/2019/01/… und ""ihre"" Marie Curie hat, obwohl sie über Jahrzehnte ionisierender Strahlung ausgesetzt war und an chronischen Erkrankungen litt und obwohl sie durch Todesfälle durch Leukämie bei mit radioaktivem Material arbeitenden Kollegen und Arbeitern beunruhigt war, die damit verbundenen gesundheitlichen Risiken nie anerkannt. https://www.nytimes.com/1998… Für sie vielleicht ein Vorbild, für den Rest sollte es sicher keiner sein und werden. Forscher sollten sich vor dem Leben fürchten, (tun sie dies !), sonst lehrt  ihnen das Leben das fürchten.",71,8,0.06690767519466075,0.010752688172043013,115.5,12,0,5,22,45.15,19.62,14
2388,2388,2388,Maik12,"""Die deutsche Politik sollte cool reagieren"" Genau das sollte eben aufhören. Nicht coolness ist gefragt sondern Kühnheit (Mut) und agieren statt zu reagieren. Reagieren - Anpassung - ist TEIL der Verhaltenweisen menschlichen agierens und nicht deren Hauptbestandteil. Wird dies zur Strategie hat dies eine Reihe von kleinen scheinbaren Korrekturen zur Folge, die insgesamt die Situation aber nur unwesentlich verbessern. Tatsache ist, dass in diesem Fall die Aneinanderreihung von Punkten die Politik steuert und nicht Politik steuernd agiert. Hamsterrad lässt grüßen. Cool sein und cool sein wollen, Ludwig Creven, sind weder verwandt noch verschwägert.",59,6,0.065193577214679,0.02949061662198392,92.5,11,0,6,17,66.7,13.3,14
2389,2389,2389,Maik12,"""Die Deutsche Wohnen kümmere sich nicht um die Instandhaltung der Wohnungen – die müsste der Vermieter bezahlen –, sondern setze ausschließlich auf Modernisierungsmaßnahmen."" Kein Einzelfall, das hat sich bereits seit Jahren in Vermieterkreisen etabliert. Und sog. Modernisierungsmaßnahmen sind schlicht und einfach die Instandhaltungsmassnahmen. Es geht um die Aushebebelung der (wie bereits erwähnt) bestehenden rechtlichen Grundlagen. Jegliche Rechtssprechung (Urteile) die zu einer Stärkung der bestehenden Rechtsgrundlagen (Gesetze) führen würden, werden mit Hilfe der Mietervereine, Vermieterverbände und Anwälten (rezessiv Anwaltskammern) verhindert. Fragen Sie mal bei Richtern an Amtsgerichten und Landgerichten nach, die werden allerdings allenfalls im Ruhestand befindend, evtl. Auskunft darüber geben.",76,9,0.06747461252793219,0.01593625498007968,54.88888888888889,16,0,6,30,62.0,11.92,14
2390,2390,2390,Maik12,"""Die Deutschen"", mit derlei Eingrenzungen, grenzen sie alle anderen aus: Diskriminierung, In Deutschland leben schliesslich auch andere Völker und Volksgruppen, bei denen kommt schon seit Wochen der Verdacht auf, Corona ist ein deutsches Problem und sie seien nicht davon betroffen, müssten sich schützen vor ""den Deutschen"". Und alle Schutzmassnahmen tragen dazu bei. Schön verrückt. Wer liest eigentlich deutsche Zeitungen, deutschen Mainstream und schaut deutsches TV Programm? Ironie off",51,6,0.07161502474744051,0.008720930232558141,114.0,11,0,6,13,57.7,14.64,14
2391,2391,2391,Maik12,"""Die Frage ist: Besteht die Verpflichtung zur Barmherzigkeit aber auch gegenüber demjenigen, der seine Notlage bewusst herbeigeführt hat?"" Werte/r Gladiola, ob Ihre Frage nun DIE Frage als solche ist, kann ich Ihnen nicht beantworten und ob eine aufgrund äußerer Umstände eingetretene schwierige Situation, in der sich jemand befindet, bewusst herbeigeführt wurde und durch die sich der Einzelne bedroht sieht, kann ich auch nicht als ""von ihm bewusst herbeigeführte Notlage"" erkennen. Was ich allerdings erkenne, ist Ihre Unbarmherzigkeit, denn in der Pflicht zur Barmherzigkeit, sehe ich Sie nicht, allenfalls und gerade aus Ihnen heraus, freiwillig versteht sich Ihre Frage dahingehend selbstbeantwortend.",64,12,0.05962434814712261,0.01072961373390558,65.71428571428571,19,0,6,24,58.15,14.28,14
2392,2392,2392,Maik12,"""Die markante Figur, die an diesem strahlenden Dezembertag die Lobby eines Luxushotels in Vancouver betritt, könnte ein Händler für illegale Neuro-Implantate sein, ein Therapeut für depressive künstliche Intelligenzen, ein dunkler Oligarch mit ewigem Leben – und ist doch bloß der einflussreichste Futurist unserer Zeit: "" Hallo Jochen Wegner, sehr gut (nicht nur) beschrieben. Was mich interessiert, haben Sie ""Ihn"" erkannt? Zum ""könnte"", nur soviel: könnte ist eine flektierte Form von können. Ach und ""Futuristen"", deren Inhalte sind längst überholt. In diesem Sinne, no future. Das Interview als solches finde ich ganz gut, guter Beobachter, also Beide, Gibson wäre als Trendscout im Marketing allerdings obsolet. Als Therapeut für ""Silicon Valley"" allerdings durchaus vorstellbar. Sie wissen ja: Ein Mensch mit Agoraphobie wird so von der Angst beherrscht, dass er nicht mehr in der Lage ist, sein Leben nach seinen eigentlichen Bedürfnissen zu leben. Er ist damit beschäftigt, vermeintliche Bedrohungen abzuwehren und sich in Schutzräume zurückzuziehen. Er traut sich kaum noch aus dem Haus.",64,8,0.06377287960814644,0.023148148148148147,85.6,16,0,4,22,61.9,13.87,14
2393,2393,2393,Maik12,"""Die Niederlande weisen die türkische Ministerin Kaya aus und gehen mit Wasserwerfern gegen Demonstranten vor. Die Türkei kündigt Vergeltung an."" Ein Einreisestopp einer illegalen Einreise ist keine Ausweisung. Aufenthalte von weniger als 3 Monaten EU-Staatsbürger und Staatsbürger der folgenden Länder benötigen kein Visum für Aufenthalte von weniger als 3 Monaten: Albanien, Andorra, Argentinien, Antigua und Barbuda Australien, Bahamas, Barbados, Bosnien und Herzegowina, Brasilien, Brunei, Chile, Costa Rica, Dominica, der ehemaligen jugoslawischen Republik Mazedonien,  El Salvador, Guatemala, Grenada, Honduras, Hong Kong, Israel, Japan, Kanada, Kiribati, Kolumbien, Malaysia, Marshall Inseln, Macau, Mauritius, Mazedonien, Mexiko, Mikronesien, Republik Moldau, Monaco, Montenegro, Neuseeland, Nicaragua, Panama, Palau,  Peru,  Paraguay, Samoa, San Marino, Saint Kitts and Nevis, Saint Lucia, St. Vincent und die Grenadinen, Serbisch, Seychellen, Singapur, Salomonen, Südkorea, Taiwan Timor-Leste, Tonga,  Trinidad und Tobago, USA, Vereinigte Arabische Emirate, Tuvalu,  Uruguay, Vanuatu, Vatikan Staat, Venezuela. Falls Sie Staatsbürger eines anderen Landes sind benötigen Sie ein Visum, um in die Niederlande einzureisen. Suchen Sie um ein solches in der niederländischen Botschaft oder in einem Konsulat in Ihrem Heimatland an. https://www.justlanded.de/de…",100,14,0.06379631051724433,0.007832898172323759,126.83333333333331,29,0,16,34,37.35,15.6,14
2394,2394,2394,Maik12,"""Die sexistische Tendenz dieses Interviews, wobei an den Aussagen durchaus was dran sein könnte, könnte als Argumenent gegen den derzeit vorangetriebenen Geschlechter-Egalitarismus stehen."" Man könnte es auch solches bezeichnen Dafür müssen Sie allerdings, nach-lesen Welcher Ausdruck wird unter anderen in der Politik im Zusammenhang mit (vermeintlich) ideologisch motivierten rhetorischen Aussagen verwendet und findet sich auch häufig zu bestimmten Anlässen (Interview, Gesprächsrunden) wieder?",83,7,0.07309810610098423,0.020715630885122408,132.0,12,0,4,22,53.9,18.44,14
2395,2395,2395,Maik12,"""Die SPD wertet das als Misstrauensvotum gegen Bundesinnenminister Seehofer."" :-) Zur Erinnerung ""Juristisch kam es, da die erforderlichen zwei Drittel der westdeutschen Länder bereits zugestimmt hatten, auf das Votum des bayerischen Landtages nicht mehr an. Das Grundgesetz galt so oder so auch in Bayern. Deshalb, und um jeden Vorwurf des Separatismus zu entkräften, beschloß der Landtag mit den Stimmen der CSU, die Ablehnung des Grundgesetzes durch ein feierliches Bekenntnis zur Bundesrepublik und zur Verfassungstreue zu ergänzen."" O Ton Erhard ""Es besteht die Tatsache – und sie darf und soll ausgesprochen werden – , daß nämlich bei diesem Entstehungsmodus der neuen Bundesrepublik ein alliierter Zwang vorliegt, der uns keine andere Wahl läßt."" ""Die Oppositionsparteien SPD und FDP versuchten vergeblich, die Bedenken der CSU zu zerstreuen. Sie beschworen ihre konservativen Kollegen, dem Grundgesetz und den darin niedergelegten demokratischen Werten die Zustimmung nicht zu versagen"" ""Bis heute jedoch versteht sich Bayern als kämpferischer Verteidiger der föderalen Eigenständigkeit der Länder – ob es den Preußen paßt oder nicht."" *lach* http://www.deutschlandfunk.d… Grundgesetz für die Bundesrepublik Deutschland Art 21 (2) Parteien, die nach ihren Zielen oder nach dem Verhalten ihrer Anhänger darauf ausgehen, die freiheitlich https://www.gesetze-im-inter…",54,3,0.06504559270516719,0.021212121212121213,65.2,10,0,4,17,72.9,9.84,14
2396,2396,2396,Maik12,"""Die Zustimmung des Oberhauses steht noch aus, gilt aber als sicher. "" Schon wieder eine Desinformation. ""House of Lords"" ist keine ""höhere Instanz"" deren Zustimmung Voraussetzung für Gesetzesentwürfe sind. Die Lords können Gesetze nicht verhindern, aber Änderungen vorschlagen oder Gesetzentwürfe monatelang aufschieben. Bereits im August 2016 erklärte die Oberhaus-Abgeordnete Baroness Patience Wheatcroft, sie werde sich für eine solche Aufschiebung einsetzen. ""Falls es zu einem Gesetzentwurf kommt, werden die Lords die Dinge verzögern. Ich denke, eine Mehrheit der Lords ist für einen Verbleib in der EU"", sagte Wheatcroft dem Independent. Mehr noch: Sie hoffe, fügte Wheatcroft hinzu, dass der Aufschub zu vorgezogenen Neuwahlen oder zu einem zweiten EU-Referendum führen würde. http://www.independent.co.uk… Eile mit Weile, liebe Meldung.",86,5,0.06624002890575056,0.00931098696461825,66.25,16,0,5,24,69.75,8.51,14
2397,2397,2397,Maik12,"""Dies geht nämlich immer nur in bestimmtem Umfang und nicht ohne Überwachung durch unsere staatlichen Institutionen. Und auch wenn es viele nicht hören wollen:"" Dazu muss man ein wenig in die Gründungs(vor)phase blicken. ""von einer diffusen Europa- Idee leiten lassen..........."" ja, (offensichtlich (un) wissentlich und zu welchem Preis? Schon damalige (Gründungs""väter"" wie z.B. Spinelli (muss man sich mal vorstellen !! befürworteten einen ""Förderalismus"" in der Ausgestaltung einer ""supranationalen Polizeimacht"" um die ""nationalstaatliche(n) Anarchie(n)"" zu überwinden. usw. usw. https://d-nb.info/1036250016…",67,10,0.06306044430350757,0.016771488469601678,118.5,22,0,8,21,46.55,19.67,14
2398,2398,2398,Maik12,"""Dieser Ruf nach EU-Kriegsschiffen ist einfach nur albern. "" Er ist nicht nur albern sondern auch inkonsequent. Konsequent wäre der Ruf: ""Wollt ihr den totalen Krieg"" oder weniger  melodramatisch: Der Ruf nach einer Kriegserklärung, zuweilen auch der Eintritt in laufende Kriegshandlungen, sozusagen ""einmal durchgewischt"" ist einmal gespart. Da darf man nicht geizen.",59,7,0.059554816257742574,0.014018691588785048,428.0,23,0,4,47,51.8,10.19,14
2399,2399,2399,Maik12,"""Doch auch die Opposition ist mächtiger, als viele Optimisten zu hoffen wagten."" Na wenigstens rettet der „Trump Bump“, durch einen Sprunghaften Anstieg der Digital-Abo die Bilanz der ""New York Times"". Sonst wären Kosteneinsparungen unvermeindlich (die gehen ja oft mit Streichungen einher), da haben manche Autoren vielleicht nochmal Glück gehabt. http://meedia.de/2017/02/02/…",101,10,0.06624866858211828,0.01195814648729447,73.44444444444444,16,0,9,25,63.5,11.21,14
2400,2400,2400,margherita," Die Museen werden geschlossen, weil die Anzahl der Kontakte schnell und drastisch reduziert werden muss, damit Schulen und Kindergörten geöffnet bleiben können. Das ist die Logik. Menschen, die sich dorthin bewegen, möglichst mit Bus und Bahn, treffen dabei zwangsläufig auf Mitmenschen und eine Ausstellung versteht man v.a. dann gut, wenn man eine fachkundige Führung bucht, und die lohnt sich erst in der Gruppe und dann will man gerne anschließend noch zusammen einen Kaffe oder einen Wein trinken, wenn man erst mal ins Zentrum gereist ist usw usf. So jedenfalls machen wir das und wir treffen in Museen vorwiegend auf Tentner, als Menschen aus der Risikogruppe. Das verbietet sich eben in Zeiten der Pandemie. Wenn jetzt jeder Betroffene lamentiert und möglichst auch noch klagt und eine Ausnahme erzwingt, haben wir demnächst noch mehr Tote. Wollen das die Museumsleiter, Fitnessstudios usw. billigend in Kauf nehmen?Die Anwesenheits-Listen konnten sie auch schon nicht prüfen und deshalb helfen sie auch nur begrenzt weiter, abgesehen davon, dass die Ämter sind jetzt schon überfordert sind. Ich sage weiterhin: durchhalten, aus Solidarität und Vernunft! ",78,16,0.05808046313461476,0.010810810810810813,91.66666666666669,21,0,5,30,53.25,15.47,33
2401,2401,2401,margherita," Ich gebe Söder nicht oft recht, aber diesmal liegt er richtig: kein grosser Wurf! Fahren wir in dem Tempo fort, sind wir Weihnachten noch nicht viel weiter, wenn überhaupt. Enttäuschend. Ich kenne das im übrigen von Sitzungen so, dass der Einladende - hier Mme Merkel -  eine Tischvorlage präsentiert, über die die Anwesenden diskutieren und ggf. abstimmen. Heute wurde wohl viel Zeit verplempelt, um das Verfahren zu kritisieren. Das Papier wäre sehr sehr übereilt erstellt worden und habe die Teilnehmer überrumpelt, hört man, aber mal ehrlich: Es stand doch schon tagelang in allen möglichen Zeitungen, was geplant war oder nicht ? ",74,3,0.06526713249402323,0.027149321266968326,62.28571428571429,17,0,11,27,75.8,8.02,33
2402,2402,2402,margherita,"... ja, aber die ""neue deutsche Falschschreibung"" (s. Duden) erlaubt fast alles und Deutschlehrer können heutzutage häufig auch kein richtiges Deutsch mehr. Weil (!) es interessiert sie nicht. Sie bevorzugen Denglisch, das klingt für sie cooler und signalisiert mehr Nähe zu den Kindern und Jugendlichen, meinen sie. So glauben sie, ihren ""Stoff"" (lies: Literatur) besser ""verkaufen"" zu können. Die schöne deutsche Sprache mit ihren manigfachen subtilen Ausdrucksmöglichkeiten verschwindet langsam aber sicher. An ihre Stelle tritt dann bald die leichte Sprache, also so etwas wie Pidgin-Deutsch.",64,8,0.068157602663707,0.009411764705882352,105.5,9,0,5,11,42.7,21.55,33
2403,2403,2403,margherita,"... nicht nur versprochen, sondern eingelöst. Nicht zu vergessen, dass das für das jeweilige Land gut bezahlte Arbeitsplätze bringt... und so dessen Bruttoinlandsprodukt steigert.... welches Land würde sich nicht um das lukrative Angebot reißen? Nein, Scherz beiseite: Ich finde den Vorschlag, dass D. nun auch schon im Ausland Gefängnisse bauen und unterhalten soll, abstrus.",84,8,0.06518802298618813,0.009157509157509158,77.14285714285714,15,0,6,26,65.4,10.39,33
2404,2404,2404,margherita,"... was beweisen würde, dass die Politik in NRW insgesamt in den Augen der Wähler/innen gar nicht so schlecht war bzw. ist, wie dargestellt, und auch, dass die Bäume auch nach der Wahl nicht in den Himmel wachsen... das Land hat ja finanziell kaum Spielraum für 'Blütenträume'. Rassismus bleibt ihm hoffententlich erspart.",53,7,0.07069606759932152,0.013927576601671307,71.0,6,0,2,14,64.1,11.79,33
2405,2405,2405,margherita,"....denn unsere Hilfe wird ja offenbar von einer Mehrheit der Afghanen nicht gewollt. Ob das die Mehrheit ist, fragt sich, aber die mächtigen Warlords wollen keine Hilfe=Einmischung von außen. Kann man so etwas nicht auch verstehen? Nicht alle Menschen auf der Welt wollen am amerikanischen Wesen genesen. Was ist eigentlich aus den Schulen für Kinder und den Frauenbefreiungsinitiativen, finanziert mit deutschen Steuergeldern, geworden? Vermutlich sind sie alle wieder vernichtet. Das Geld hätte man besser im Inland für die marode Infrastruktur verwendet und für die Ausbildung und Integration von afghanischen Flüchtlingen, die sich nach Frieden, Arbeit und Demokratie sehnen.",51,2,0.06616115660701649,0.015873015873015872,78.0,12,0,2,20,69.7,13.08,33
2406,2406,2406,margherita,"...""Mit Verlaub, die Einheitskasse für alle ist derzeit nun mal nicht so wichtig wie der Zusammenhalt der Gesellschaft."". Mit Verlaub: Das ist unlogisch, Herr Spahn! Die Spaltung der Gesellschaft in gesetzlich und privat Versicherte lässt die Gesellschaft weiter auseinanderdriften. Zusammenhalt sieht anders aus. Mir scheint, hier reproduziert Herr Spahn das Gesäusel der Lobbyisten aus dem Versicherungswesen.",55,5,0.06508483563096501,0.01897018970189701,91.5,6,0,2,19,50.55,16.77,33
2407,2407,2407,margherita,"...""nichts unternommen, um junge Algerien und Marokkaner zu integrieren."" Es gibt auch Beispiele für gelungene Integration. Viele arabischstämmige Franzosen sind über das Schulwesen und den Arbeitsmarkt integriert worden, aber sie wurden immer zahlreicher, weil ihre 'Fruchtbarkeitsrate' höher liegt, und sie wurden in den neuen Wohnblocks an die Peripherie angesiedelt. Als schließlich die Industriegesellschaft keine ausreichende Zahl an einfachen Arbeitsplätzen mehr zur Verfügung stellen konnte, brauchte man diese einfache 'main d'oeuvre' nicht mehr: diese Abwärtsspirale begann in den späten 70er Jahren. So ganz unterschiedlich ist der Prozess in Deutschland aber auch nicht verlaufen, wenn auch etwas verzögert, weshalb wir uns nicht auf so ein hohes Roß setzen sollten.",61,5,0.07046070460704608,0.016260162601626018,60.66666666666666,17,0,8,16,82.05,8.01,33
2408,2408,2408,margherita,"...muss wohl etwas mit unseren freizeitlich-demokratischen Grundwerten zu un haben. Danke. Den Begriff übernehme ich in meinen Sprachschatz, wenn ich darf. Der ist wirklich gut. Ansonsten gefällt mir der ironische Kommentar sehr. Sollte die Viruskrise tatsächlich dazu führen helfen, sich auf die Wirklich wichtigen Dingezurück zu besinnen? Allein mir fehlt der Glaube. Wir werden uns weiter ""zu Tode amüsieren"" , jedenfalls die breite Masse der Deutschen!",99,8,0.06488816089793507,0.010463378176382659,66.0,30,0,12,26,60.6,12.91,33
2409,2409,2409,margherita,"...und dann ist die Umweltbelastung durch Stickoxyde, die ja die Allgemeinheit tragen bzw. erleiden muss, egal oder? Das genau meinte ich mit 'kognitiver Dissonanz': Es wird nur der eigene Vorteil errechnet (Bwl-Kalkulation), den Rest - die Vwl-Schäden - blendet man aus. Die sind ja durchaus auch rational und nicht emotional erfassbar.",122,12,0.07159594987146957,0.0038759689922480615,85.1111111111111,30,0,9,29,72.8,10.03,33
2410,2410,2410,margherita,"...und landen oft früher oder später beim Psychotherapeuten, wenn die Eltern sich nicht mehr wertschätzen und in allem Wesentlichen über die Erziehung einigen können. Loyalitätskonflikte bei Kindern sind nur schwer lösbar, (übrigens auch bei Freunden von geschiedenen Paaren,) denn beide Seiten erwarten in der Regel - wenn auch indirekt - ein Bekenntnis, dass man sie mehr schätzt oder liebt. Auch sogen. Patchworkfamilien sind alles andere als probemlos, sobald man etwas an der harmonischen Fassade kratzt.",57,8,0.06324087760484598,0.008064516129032258,45.625,11,0,3,17,65.2,12.92,33
2411,2411,2411,margherita,"'Das wissen sie sehr wohl: Rot-Grün wollen sie weghaben....' ja, genau das ist ja das Problem: Eine so eingeschränkte Antihaltung ersetzt noch keine aktive Politik. Dazu braucht man positive Ideen; nennen Sie das ruhig Visionenür die Zukunft, wenn Sie wollen. Jedenfalls reicht es nicht zu sagen: Ich bin dafür, dass wir dagegen sind. Das gab es alles schon zu APO-Zeiten. Ich wette, es dauert nicht lange, dann heißt es bei Laschet: ""Investitionen in den Straßenbau? Nur wenn Berlin zahlt. Neue Polizisten? mehr Lehrer? bessere Schulen? Sorry, aber dafür ist kein Geld da, es sei denn, wir verzichteten auf Steuererleichterungen..."" oder so ähnlich.",54,4,0.07728519534435466,0.02127659574468085,109.0,8,0,4,18,68.4,11.64,33
2412,2412,2412,margherita,"'Tit for tot', so sagt man, glaube ich, im Englischen, also ""wie du mir, so ich dir."" Ich sehe keinen Spielraum für großzügige einseitige Geschenke. Über Sonderrechte nach dem Austritt sollte genaustens Punkt für Punkt verhandelt werden. Fordert GB von EU-Europäern verschärfte Einreisebedingungen, sollten wir das gleiche mit den Briten tun usw. Das ist kein Racheakt; schon gar nicht soll es die bestrafen, die gegen den Brexit gestimmt haben, aber ALLE Bürger eines Landes müssen die Folgen der Politik der Mehrheit im Parlament ertragen oder eben sich dagegen im eigenen Land mit geeigneten Mitteln (Neuwahlen) wehren oder auswandern.",96,17,0.062196613761560826,0.009762900976290095,88.75,26,0,6,35,47.0,16.82,33
2413,2413,2413,margherita,""" Diese SPD wird niemand vermissen in 4 Jahren."" Diese SPD vielleicht nicht, aber seien Sie versichert: die heutige SPD wird sich wandeln, fragt sich nur in welche Richtung. Wenn sie klug genug ist, wird sie sich wieder der sozialen Gerechtigkeit in digitaler Zeit in Deutschland und innerhalb der EU zuwenden.",82,9,0.0643720797517566,0.007547169811320755,176.0,10,0,7,23,47.4,17.26,33
2414,2414,2414,margherita,"""...in anderen Ländern geht das auch und zwar ohne Qualitätsverlust"". In welchen Ländern bitte, mit denen wir uns vergleichen wollen/sollten? Wer in Frankreich zum Beispiel Medizin studieren will, muss nach dem Abitur (nach 12 Schuljahren) mindestens noch 1 Jahr eine allgemeinbildende Vorbereitungsschule besuchen und sich dann einem Concours (Auswahlverfahren) stellen, bei dem nur so viele bestehen können, wie die Regierung Studienplätze ausgeschrieben hat. Dieses Vorbereitungsjahr mit ca. 40 Wochenstunden ""Schulunterricht"" absolvieren über 80 % eines Jahrgangs nicht erfolgreich. Diese Mehrheit der Bewerber darf dann das Jahr max. 1 Mal wiederholen. Dann wären wir schon bei 14 Jahren Schulzeit. Wo ist der Zeitgewinn? Auch die ""Grandes Ecoles"", also Eliteuniversitäten, haben Vorbereitungsschulen mit strengen Ausleseverfahren, so dass viele auch hier nicht im 1. Anlauf den Zugang schaffen... Wenn man allerdings ein 08/15-Studium ohne große spätere Berufs- und Aufstiegschancen absolvieren will, dann reichen die besagten 12 Schuljahre. Ist das dann kein Qualitätsverlust?",77,9,0.06422359601550354,0.011560693641618495,73.28571428571429,19,0,8,24,61.9,12.91,33
2415,2415,2415,margherita,"""...mittlerweile kleine trotzige Kinder ?"" Wie sollen wir denn reagieren? Mit ""Lass ihn doch, der beißt nicht, der will nur spielen?"" Ist Wegschauen erwachsenes Handeln? Erdogan will uns vorführen, will zeigen, wie erbärmlich und im kurzen Hemd man dasteht, wenn man sich auf Freiheitswerte und Aufklärung beruft. Das stärkt seinen Anspruch und die Erwartungen der Türken, sie als ""ihr"" starker Führer vor so etwas zu bewahren.",84,18,0.05803450479233226,0.01757188498402556,124.4,23,0,8,32,23.6,22.16,33
2416,2416,2416,margherita,"""Als nächsten müssen dann die entsprechenden Gesetze geändert werden.."" Das Thema ist viel zu komplex, um am sprichwörtlichen  Stammtisch abgehandelt zu werden. Wir sollten stolz auf unseren umfassenden deutschen und europäischen Rechtsschutz des Individuums sein, statt ihn abschaffen zu wollen. Dieser Schutz muss auch gegen einen heftigen (An-)Sturm, wie wir in derzeit erleben, standhalten. Demokratie uned Rechtsschutz kosten immer viel Zeit und Geld. Das sollte uns dieses hohe Gut jedoch wert sein!",50,8,0.06384724397702694,0.01524390243902439,53.83333333333334,9,0,4,20,64.7,11.2,33
2417,2417,2417,margherita,"""Angebracht waere, wenn Herr Steinmeier die seine Dienstvilla dazu nutzen wuerde, um als Vorbild fuer alle Deutschen den Menschen, die in bitterster Not in unmittelbarer Naehe ihr armseliges Dasein fristen, ueber den Winter zu helfen."" ...um Himmels Willen! Der ist doch nicht der heilige Martin! Dann würde wohl auch noch der letzte osteuropäische Arbeitslose die Beine in die Hand nehmen und ins gesegnete deutsche Schlaraffenland 'rübermachen"".",83,6,0.06723756090358779,0.01343570057581574,73.57142857142857,16,0,6,31,68.65,10.06,33
2418,2418,2418,margherita,"""Außerdem sei die Aussprache eingedeutscht worden."" Kann ich nicht erkennen. Die meisten Kommentatoren und Zeitgenossen sprechen das Wort - entsprechend der ""teutonischen Neigung"" zur kritiklosen Amerikanisierung - so aus, dass es wie ""Dschihad"" klingt. Diese Wahl zum ""Wort des Jahres"" finde auch ich nicht gelungen... zumal das Bild ja schief ist: Zur Debatte stand nämlich die Bildung einer 4-Parteien-Koalition! Die Jamaikaflaggge hat, wie inzwischen jeder weiß, jedoch nur 3 Farben.",50,2,0.059309309309309326,0.030303030303030307,48.66666666666666,17,0,3,17,79.75,8.2,33
2419,2419,2419,margherita,"""Bald könnten und werden Religionskriege in Europa beginnen."" Wie bitte? Aber doch nur, wenn die Türkei dazu aufruft. Wir haben ja immerhin die Religionsfreiheit; fragt sich wie lange noch, wenn es so weitergeht. So jemandem darf man doch kein Rederecht in Deutschland einräumen. Der ist ja ""wie von Sinnen"". Verstößt er mit dieser Hetze nicht gegen das Völkerrecht?",73,10,0.06731822828189232,0.011494252873563218,103.6,19,0,6,18,50.55,16.09,33
2420,2420,2420,margherita,"""Bei Vergewaltigung und sexueller Nötigung seien es 15,9 Prozent, bei gefährlicher und schwerer Körperverletzung 15,2 Prozent und bei den Raubdelikten 15,1 Prozent. "" Das ist mehr als jeder 7 ! Soviel ? Das haut einen um! Gibt es eigentlich eine Statistik, die erfasst, wie viel Geld uns, den Steuerzahler, diese ""Zuwanderung"" jährlich zusätzlich kostet; ich meine für Unterkunft und Betreuung, Medizinversorgung, polizeiliche Einsätze, juristische Verfahren, Gefängnisunterbringung usw. usf.? Könnte man die mal erfahren? Das bezahlen wir ja leider nicht aus der Portokasse. Die immateriellen Kosten wie Angst und oft jahrelanges Leiden durch und nach Straftaten kommen ja noch dazu, aber sie lassen sich nicht quantifizieren. Warum auch? Amerikaner nennen so etwas lapidar Kollateralschäden.",60,5,0.06533362630923606,0.021621621621621626,91.75,9,0,5,18,65.55,14.0,33
2421,2421,2421,margherita,"""Bildung braucht Redundanz: Wiederholung, Vertiefung, Zeit zum Reflektieren des Gelernten."" ... sehr gut geschrieben! Sie haben offensichtlich Ahnung, wovon Sie sprechen. Hatte nicht auch die INsM damals vehement die Verkürzung der Schulzeit gefordert? Vielleicht irre ich mich aber auch... Außerdem: Die Kinder und Jugendlichen brauchen auch Zeit zum ""persönlichen Reifen"". Sie sollten nicht nur schulisch lernen dürfen!",50,4,0.06555058670641745,0.009259259259259259,107.33333333333331,9,0,5,12,58.0,12.28,33
